scientific_name,longitude,latitude
Lobodon carcinophaga,-31.966707,-73.977631
Lobodon carcinophaga,-31.986334,-74.025238
Lobodon carcinophaga,-32.004265,-74.07634
Lobodon carcinophaga,-32.017654,-74.123749
Lobodon carcinophaga,-32.103466,-74.353104
Lobodon carcinophaga,-32.103928,-74.355133
Lobodon carcinophaga,-32.121719,-74.400711
Lobodon carcinophaga,-32.144909,-74.464844
Lobodon carcinophaga,-32.1954,-74.584267
Lobodon carcinophaga,-32.215088,-74.628677
Lobodon carcinophaga,-31.399008,-74.064461
Lobodon carcinophaga,-31.394705,-74.068268
Lobodon carcinophaga,-31.399435,-74.117737
Lobodon carcinophaga,-31.414223,-74.181503
Lobodon carcinophaga,-31.433657,-74.260483
Lobodon carcinophaga,-31.435759,-74.269089
Lobodon carcinophaga,-31.442661,-74.299667
Lobodon carcinophaga,-31.450161,-74.329529
Lobodon carcinophaga,-31.450495,-74.330933
Lobodon carcinophaga,-31.482134,-74.466339
Lobodon carcinophaga,-30.079103,-74.517357
Lobodon carcinophaga,-30.06366,-74.474579
Lobodon carcinophaga,-29.984669,-74.282387
Lobodon carcinophaga,-30.772556,-74.789116
Lobodon carcinophaga,-31.518734,-74.650833
Lobodon carcinophaga,-35.956356,-74.691086
Lobodon carcinophaga,-35.904472,-74.481895
Lobodon carcinophaga,-36.801666,-74.546211
Lobodon carcinophaga,-34.452415,-74.308563
Lobodon carcinophaga,-34.447708,-74.274014
Lobodon carcinophaga,-37.91114,-74.153854
Lobodon carcinophaga,-37.968269,-74.31781
Lobodon carcinophaga,-38.133591,-74.743393
Lobodon carcinophaga,-36.826679,-74.587967
Lobodon carcinophaga,-36.818275,-74.573486
Lobodon carcinophaga,-37.308426,-74.231613
Lobodon carcinophaga,-37.110344,-73.781631
Lobodon carcinophaga,-33.06723,-74.749168
Lobodon carcinophaga,-32.871723,-74.107819
Lobodon carcinophaga,-28.808399,-75.228195
Lobodon carcinophaga,-28.798723,-75.185768
Lobodon carcinophaga,-28.791704,-75.145943
Lobodon carcinophaga,-28.791048,-75.142387
Lobodon carcinophaga,-28.791048,-75.142387
Lobodon carcinophaga,-28.774868,-75.037354
Lobodon carcinophaga,-28.768612,-74.998428
Lobodon carcinophaga,-28.775026,-75.032898
Lobodon carcinophaga,-28.766869,-74.993042
Lobodon carcinophaga,-28.741041,-74.88031
Lobodon carcinophaga,-28.712132,-74.749908
Lobodon carcinophaga,-28.715466,-74.775696
Lobodon carcinophaga,-28.711927,-74.753761
Lobodon carcinophaga,-28.695282,-74.633156
Lobodon carcinophaga,-28.695282,-74.633156
Lobodon carcinophaga,-28.692598,-74.621185
Lobodon carcinophaga,-28.674395,-74.550529
Lobodon carcinophaga,-28.668535,-74.527664
Lobodon carcinophaga,-28.673111,-74.506531
Lobodon carcinophaga,-28.671864,-74.508942
Lobodon carcinophaga,-28.673111,-74.506531
Lobodon carcinophaga,-28.669621,-74.513115
Lobodon carcinophaga,-28.666288,-74.469597
Lobodon carcinophaga,-28.663149,-74.450371
Lobodon carcinophaga,-28.659994,-74.426636
Lobodon carcinophaga,-29.327154,-74.378639
Lobodon carcinophaga,-29.548281,-74.779984
Lobodon carcinophaga,-28.72522,-74.725945
Lobodon carcinophaga,-28.710337,-74.613739
Lobodon carcinophaga,-28.700998,-74.565308
Lobodon carcinophaga,-28.701126,-74.56205
Lobodon carcinophaga,-28.700409,-74.555725
Lobodon carcinophaga,-28.700157,-74.554359
Lobodon carcinophaga,-28.672886,-74.41584
Lobodon carcinophaga,-28.664698,-74.367516
Lobodon carcinophaga,-28.663359,-74.362518
Lobodon carcinophaga,-29.61285,-74.890533
Lobodon carcinophaga,-29.64949,-74.961945
Lobodon carcinophaga,-29.65247,-74.968056
Lobodon carcinophaga,-29.65247,-74.968056
Lobodon carcinophaga,-29.655121,-74.974197
Lobodon carcinophaga,-29.661301,-74.987877
Lobodon carcinophaga,-29.689774,-75.047661
Lobodon carcinophaga,-29.723949,-75.115753
Lobodon carcinophaga,-29.730148,-75.128883
Lobodon carcinophaga,-29.738243,-75.150597
