date,year,month,yt_ocean,xt_ocean,yu_ocean,xu_ocean,season_year,life_stage,decade,sector,zone,presence,bottom_slope_deg,dist_shelf_km,dist_coast_km,depth_m,freez_pot_Wm2,SIT_m,SIC,SST_degC,bottom_temp_degC,SSS_PSU,bottom_sal_PSU,vel_lat_surf_msec,vel_lat_bottom_msec,vel_lon_surf_msec,vel_lon_bottom_msec,lt_pack_ice,dist_ice_edge_lon
Dec-99,1999,12,-67.465,76.85,-67.444,76.9,summer,weaning,1990,East Indian,Antarctic,0,89.46806335,312.0748936,8.122527653,324.81668,-1120.9713,1.0702202,0.74828196,-1.7204285,-1.861785889,34.378986,34.48561859,-0.0338697,-0.000470945,-0.044206332,-0.002132285,0.666666667,878.3719985
Dec-97,1997,12,-67.465,76.95,-67.444,77,summer,weaning,1990,Central Indian,Antarctic,0,89.56697083,312.0748936,9.175582137,316.85,-2651.7744,0.76131326,0.5404156,-1.5266418,-1.854736328,34.229546,34.5068779,-0.045350544,-0.009018038,-0.03342076,0.004035696,0.654761905,819.2308382
Nov-87,1987,11,-67.465,77.35,-67.444,77.4,autumn,weaning,1980,Central Indian,Antarctic,0,89.65620422,312.1073992,14.20782726,282.4,-107.78141,0.36802047,0.95464694,-1.8505249,-1.863922119,34.512844,34.52593994,-0.023261093,-0.001848842,-0.03898356,0.002945396,0.642857143,817.1900502
Nov-98,1998,11,-67.465,77.75,-67.444,77.8,autumn,weaning,1990,Central Indian,Antarctic,0,89.79623413,312.8865163,22.90800029,234.18333,-50.359188,0.48843735,0.9465772,-1.8572083,-1.862060547,34.506355,34.53514099,-0.06994131,-0.009619352,-0.076904416,-0.012715613,0.654761905,828.1190159
Dec-99,1999,12,-67.465,79.85,-67.444,79.9,summer,weaning,1990,Central Indian,Antarctic,0,89.96989441,333.3232995,90.74882759,525.18335,-2309.341,0.82227135,0.50359666,-1.5770569,-1.863006592,34.384174,34.50479126,-0.07496692,-0.017549405,-0.06273087,-0.019884685,0.5,931.1964359
Dec-99,1999,12,-67.339,71.25,-67.36,71.3,summer,weaning,1990,Central Indian,Antarctic,0,89.79466248,309.6673491,64.59249259,536.06665,-1450.4424,0.58813053,0.68164325,-1.676117,-1.86630249,34.292244,34.57155609,-0.006466846,0.033651538,-0.078847386,-0.004798569,0.654761905,763.2522635
Nov-89,1989,11,-67.339,72.55,-67.36,72.6,autumn,weaning,1980,Central Indian,Antarctic,0,89.77754211,304.8586544,53.69475591,566.31665,-56.29893,0.59461266,0.9612998,-1.856842,-1.864624023,34.513187,34.57090378,0.014739475,0.001145803,-0.054819766,-0.008567574,0.666666667,872.5963061
Dec-99,1999,12,-67.339,72.75,-67.36,72.8,summer,weaning,1990,East Indian,Antarctic,0,89.54894257,302.4451904,45.76100899,561.48334,-1308.1702,0.80658346,0.77680284,-1.6972046,-1.863067627,34.362823,34.52459717,0.014776859,0.014404722,-0.052783396,0.004297351,0.666666667,792.0557381
Dec-99,1999,12,-67.339,73.55,-67.36,73.6,summer,weaning,1990,East Indian,Antarctic,0,89.83152771,295.3617784,16.49945455,517.7,-1548.0938,0.8847879,0.7650083,-1.6656189,-1.862945557,34.316883,34.52332687,0.011425938,0.014704058,-0.053071205,-0.004903749,0.666666667,809.62107
Dec-99,1999,12,-67.339,74.85,-67.36,74.9,summer,weaning,1990,East Indian,Antarctic,0,89.30126953,292.5915614,30.65266261,420.7,-1688.7201,0.8908279,0.7538228,-1.6438599,-1.862976074,34.23231,34.5116539,-0.04593539,0.002567237,0.028139517,-0.003988878,0.666666667,833.2425552
Dec-99,1999,12,-67.339,75.15,-67.36,75.2,summer,weaning,1990,Central Indian,Antarctic,0,89.58544922,293.1129785,41.95561288,410.89584,-1782.821,0.8615526,0.73154825,-1.6325378,-1.856262207,34.234295,34.49911118,-0.0459574,-0.000841073,0.030295659,0.001698164,0.666666667,837.4648747
Dec-99,1999,12,-67.339,75.25,-67.36,75.3,summer,weaning,1990,East Indian,Antarctic,0,89.12985229,293.4253825,45.8996867,402.36752,-1789.5264,0.85549015,0.72536016,-1.6319885,-1.848083496,34.239376,34.49258804,-0.043156084,-0.005369245,0.026430199,0.003525452,0.666666667,838.9240982
Nov-89,1989,11,-67.339,75.35,-67.36,75.4,autumn,weaning,1980,Central Indian,Antarctic,0,88.56472778,293.8067568,43.91502021,400.18332,-130.87822,0.86284703,0.95527035,-1.8414612,-1.825622559,34.3949,34.48759079,-0.03223221,-0.00360959,-0.008939968,0.004529876,0.654761905,909.7318469
Nov-98,1998,11,-67.339,75.35,-67.36,75.4,autumn,weaning,1990,Central Indian,Antarctic,0,88.56472778,293.8067568,43.91502021,400.18332,-228.54353,0.48863742,0.941777,-1.8313293,-1.815368652,34.42683,34.48956299,-0.067855604,-1.61E-05,-0.04625445,0.001786898,0.666666667,809.5132801
Dec-99,1999,12,-67.339,75.65,-67.36,75.7,summer,weaning,1990,East Indian,Antarctic,0,89.02008057,295.3617784,34.93116218,376.7,-1709.1866,0.8645808,0.7270521,-1.6431274,-1.834747314,34.26627,34.48193741,-0.03529899,-0.003119949,0.00280556,0.008390706,0.666666667,845.0162229
Dec-85,1985,12,-67.339,75.65,-67.36,75.7,summer,weaning,1980,Central Indian,Subantarctic,0,89.02008057,295.3617784,34.93116218,376.7,-1315.7695,0.58010745,0.7107482,-1.6935425,-1.829528809,34.316677,34.47365189,-0.054818045,-0.006135804,0.002538312,0.007035028,0.666666667,778.8218799
