date,year,month,yt_ocean,xt_ocean,yu_ocean,xu_ocean,season_year,life_stage,decade,sector,zone,presence,bottom_slope_deg,dist_shelf_km,dist_coast_km,depth_m,SIT_m,SST_degC,bottom_temp_degC,SSS_PSU,vel_lat_surf_msec,vel_lat_bottom_msec,vel_lon_surf_msec,vel_lon_bottom_msec,lt_pack_ice,dist_ice_edge_km
Dec-99,1999,12,-65.734,69.05,-65.755,69.1,summer,weaning,1990,East Indian,Antarctic,0,89.91783142,109.7243584,4.570995742,2539.7083,0.6691566,-1.6202698,-0.202270508,34.13826,-0.017771883,-0.005832947,-0.049804118,0.001631428,0.654761905,561.3797768
Dec-99,1999,12,-65.734,72.05,-65.755,72.1,summer,weaning,1990,East Indian,Antarctic,0,89.8861084,143.6157251,97.6028176,2641.9722,0.8202091,-1.5362244,-0.209686279,34.07293,-0.006371767,0.007096171,-0.033850048,0.01171078,0.642857143,623.5775404
05-Dec,2005,12,-65.734,73.55,-65.755,73.6,summer,weaning,2000,Central Indian,Antarctic,0,89.93930817,121.5419312,112.3768333,2878.4028,1.4281749,-1.6196594,-0.191253662,33.993324,-0.034290366,0.00276286,-0.097807646,-0.012409344,0.630952381,612.9397025
Nov-98,1998,11,-65.734,73.55,-65.755,73.6,autumn,weaning,1990,Central Indian,Antarctic,0,89.93930817,121.5419312,112.3768333,2878.4028,1.1070771,-1.8014526,-0.206756592,34.26164,-0.010133425,6.48508e-4,-0.09396088,-0.020200588,0.630952381,626.4320048
Dec-99,1999,12,-65.734,73.85,-65.755,73.9,summer,weaning,1990,Central Indian,Antarctic,0,89.55935669,117.4540651,118.3961686,2875.9443,0.62746567,-1.4716187,-0.208435059,33.99748,-0.013431237,-0.003887967,-0.029621176,0.005588538,0.642857143,650.003569
Dec-99,1999,12,-65.734,74.15,-65.755,74.2,summer,weaning,1990,Central Indian,Antarctic,0,89.82103729,114.9315379,125.5749524,2854.875,0.56500703,-1.4578857,-0.206939697,34.000603,-0.014578357,0.002959467,-0.02746486,0.015382067,0.630952381,654.6031118
Nov-87,1987,11,-65.734,75.85,-65.755,75.9,autumn,weaning,1980,Central Indian,Antarctic,0,89.87839508,120.3222426,135.0451546,3099,0.80660903,-1.7641602,-0.404693604,34.18458,-0.020803627,0.002211056,-0.04611078,-0.028696269,0.630952381,613.6700595
Nov-98,1998,11,-65.734,75.95,-65.755,76,autumn,weaning,1990,Central Indian,Antarctic,0,89.93122101,120.9532759,131.6284592,3102.7876,0.9673482,-1.7954102,-0.234436035,34.2245,-0.025355078,-0.002740395,-0.09499861,-0.03420075,0.607142857,632.3209098
Dec-99,1999,12,-65.734,76.05,-65.755,76.1,summer,weaning,1990,Central Indian,Antarctic,0,89.94863892,120.3222426,128.1912877,3139.4539,1.0083623,-1.4315491,-0.232696533,33.950092,-0.016368937,0.00170573,-0.042365156,-0.01810376,0.595238095,690.7033912
Dec-99,1999,12,-65.734,76.25,-65.755,76.3,summer,weaning,1990,East Indian,Antarctic,0,89.94245911,119.5969824,121.3624018,3165.111,1.0677077,-1.4226685,-0.2293396,33.948456,-0.020160606,-0.002193499,-0.044036336,-0.019925427,0.595238095,695.1572589
Dec-99,1999,12,-65.734,76.35,-65.755,76.4,summer,weaning,1990,Central Indian,Antarctic,0,89.93773651,119.5060152,118.057564,3154.861,1.0850012,-1.4194946,-0.227294922,33.94947,-0.021251477,-0.006285551,-0.044655036,-0.020255964,0.595238095,697.0814573
Dec-85,1985,12,-65.734,76.35,-65.755,76.4,summer,weaning,1980,Central Indian,Subantarctic,0,89.93773651,119.5060152,118.057564,3154.861,1.0373778,-1.5950012,-0.273284912,33.94114,-0.039092965,-0.001807491,-0.026854705,-0.010357508,0.630952381,617.7761299
Nov-87,1987,11,-65.734,76.45,-65.755,76.5,autumn,weaning,1980,Central Indian,Antarctic,0,89.94239807,119.5060152,114.8342667,3139.4539,0.72088516,-1.7836304,-0.42477417,34.233982,-0.026735727,-0.020308914,-0.050957803,-0.047965322,0.630952381,621.9672965
Dec-97,1997,12,-65.734,76.65,-65.755,76.7,summer,weaning,1990,Central Indian,Antarctic,0,89.96038055,119.5060152,108.6611735,3102.7876,0.56754595,-1.3421326,-0.219085693,33.89999,-0.031199828,-0.007226686,-0.0806163,-0.036454376,0.595238095,716.5997277
Nov-89,1989,11,-65.734,77.15,-65.755,77.2,autumn,weaning,1980,Central Indian,Antarctic,0,89.94818115,119.5060152,93.74495256,3014.875,1.7665335,-1.7636719,-0.247314453,34.059856,-0.010133377,0.005551273,-0.047033105,-0.028395735,0.619047619,790.5138249
Nov-96,1996,11,-65.734,77.45,-65.755,77.5,autumn,weaning,1990,Central Indian,Antarctic,0,89.95405579,119.8694695,83.37488505,3046.3193,0.7979377,-1.7938232,-0.208374023,34.157066,-0.012953768,0.012105541,-0.0880596,-0.018549971,0.595238095,616.2400287
Dec-99,1999,12,-65.734,77.45,-65.755,77.5,summer,weaning,1990,East Indian,Antarctic,0,89.95405579,119.8694695,83.37488505,3046.3193,0.8872685,-1.3240051,-0.219085693,33.932987,-0.012114619,0.007506571,-0.031796683,-0.01159596,0.607142857,712.8296288
Dec-97,1997,12,-65.734,77.55,-65.755,77.6,summer,weaning,1990,Central Indian,Antarctic,0,89.9466095,120.3222426,79.9887262,3102.5833,0.6898438,-1.4190063,-0.215789795,33.940876,-0.012108635,0.022649102,-0.06539795,-0.019741029,0.595238095,684.9344665
Dec-97,1997,12,-65.734,77.65,-65.755,77.7,summer,weaning,1990,Central Indian,Antarctic,0,89.92803955,120.9532759,76.46033678,3102.7876,0.7086695,-1.4299927,-0.218811035,33.935734,-0.015331959,0.008678444,-0.06310969,-0.013568485,0.595238095,681.0044351
Dec-99,1999,12,-65.734,77.65,-65.755,77.7,summer,weaning,1990,East Indian,Antarctic,0,89.92803955,120.9532759,76.46033678,3102.7876,0.8214053,-1.2843323,-0.221710205,33.923668,-0.013122682,0.003843262,-0.02750022,-0.008877344,0.595238095,716.0679814
Nov-98,1998,11,-65.734,77.75,-65.755,77.8,autumn,weaning,1990,Central Indian,Antarctic,0,89.9228363,121.7597964,73.02731882,3102.7876,0.8126634,-1.7850647,-0.234436035,34.185734,-0.029541647,0.014025592,-0.08275729,-0.012649518,0.607142857,636.8260646
Nov-98,1998,11,-65.734,78.05,-65.755,78.1,autumn,weaning,1990,Central Indian,Antarctic,0,89.90782166,125.1946597,63.55876658,3236.0417,0.762538,-1.7840576,-0.258056641,34.192013,-0.039455198,0.018631607,-0.081574,-0.013530819,0.595238095,638.7981385
Dec-97,1997,12,-65.734,78.05,-65.755,78.1,summer,weaning,1990,Central Indian,Antarctic,0,89.90782166,125.1946597,63.55876658,3236.0417,0.99612653,-1.5122681,-0.252197266,33.897602,-0.021436948,0.007845775,-0.061295398,-0.004864939,0.583333333,665.4039793
Dec-99,1999,12,-65.734,78.55,-65.755,78.6,summer,weaning,1990,East Indian,Antarctic,0,89.86079407,134.0052124,49.45747278,3323.307,0.6319844,-1.1149902,-0.282043457,33.866314,-0.029064508,-0.011621698,-0.030840209,-0.024271445,0.595238095,731.8604405
